"","job_skills","count"
"1032","detailoriented",9
"1033","digital twins",9
"1034","diversity and inclusion",9
"1035","dod",9
"1036","electrical systems",9
"1037","encryption",9
"1038","enterprise architecture",9
"1039","equity",9
"1040","erp systems",9
"1041","erwin",9
"1042","highperformance coaching",9
"1043","iaas",9
"1044","information security",9
"1045","instagram",9
"1046","integer programming",9
"1047","integration",9
"1048","it",9
"1049","jmp",9
"1050","knime",9
"1051","language models",9
"1052","large language models (llms)",9
"1053","market research",9
"1054","marketo",9
"1055","methodologies",9
"1056","ms azure",9
"1057","oop language",9
"1058","openai",9
"1059","orchestration frameworks",9
"1060","ota",9
"1061","paid parental leave",9
"1062","performance monitoring",9
"1063","prometheus",9
"1064","proteomics",9
"1065","quantitative finance",9
"1066","realtime data",9
"1067","remote access configuration",9
"1068","safety",9
"1069","sap hana",9
"1070","sas enterprise miner",9
"1071","scheduling",9
"1072","server",9
"1073","server infrastructure management",9
"1074","short circuit analysis",9
"1075","source control",9
"1076","sql programming",9
"1077","stakeholder communication",9
"1078","star schema construction",9
"1079","supply chain",9
"1080","technical communication",9
"1081","technical leadership",9
"1082","technical support",9
"1083","test automation",9
"1084","time series data",9
"1085","tokenization",9
"1086","travel",9
"1087","visual basic",9
"1088","vmware",9
"1089","whole unit replacement",9
"1090","alation",8
"1091","amazon redshift",8
"1092","api management",8
"1093","architectural engineering",8
"1094","architecture",8
"1095","avro",8
"1096","aws developer  associate",8
"1097","aws security  specialty",8
"1098","aws solution architect  associate",8
"1099","aws solution architect  professional",8
"1100","batch",8
"1101","best practices",8
"1102","big data processing",8
"1103","boosting",8
"1104","cdisc",8
"1105","cisco ucs",8
"1106","claims data",8
"1107","clickstream analysis",8
"1108","confidentiality",8
"1109","configuration management",8
"1110","cosmos db",8
"1111","customer service skills",8
"1112","d3.js",8
"1113","data compilation",8
"1114","data operations",8
"1115","data pipelining",8
"1116","data quality checks",8
"1117","data quality control",8
"1118","data science tools",8
"1119","data storage technologies",8
"1120","defi",8
"1121","disaster recovery",8
"1122","druid",8
"1123","educational tools",8
"1124","elasticity analysis",8
"1125","embeddings",8
"1126","emerging technologies",8
"1127","energy codes",8
"1128","fault diagnosis",8
"1129","fhir",8
"1130","financial data",8
"1131","frontend development",8
"1132","gdpr",8
"1133","generalized linear models",8
"1134","generative adversarial networks",8
"1135","ggplot2",8
"1136","google cloud platform (gcp)",8
"1137","grant writing",8
"1138","graph theory",8
"1139","highperformance computing",8
"1140","hpc",8
"1141","hplc",8
"1142","it ticket management system",8
"1143","kpis",8
"1144","leadership skills",8
"1145","lean",8
"1146","life insurance",8
"1147","linear models",8
"1148","management",8
"1149","mariadb",8
"1150","ml pipelines",8
"1151","model building",8
"1152","ms access",8
"1153","ms word",8
"1154","natural language generation",8
"1155","netsuite",8
"1156","opencv",8
"1157","parallel computing",8
"1158","patching",8
"1159","periscope",8
"1160","phd",8
"1161","postgis",8
"1162","power pivot",8
"1163","prefect",8
"1164","product design",8
"1165","product strategy",8
"1166","program management",8
"1167","pub/sub",8
"1168","querying",8
"1169","r (programming language)",8
"1170","reading comprehension",8
"1171","rnns",8
"1172","rwd",8
"1173","scientific computing",8
"1174","scikit",8
"1175","server management",8
"1176","service orientation",8
"1177","social network analysis",8
"1178","solution design",8
"1179","sparkml",8
"1180","sparksql",8
"1181","spring",8
"1182","spring boot",8
"1183","ssms",8
"1184","statsmodels",8
"1185","strategy",8
"1186","synapse analytics",8
"1187","system integration",8
"1188","team player",8
"1189","technical report writing",8
"1190","text analysis",8
"1191","timeseries analysis",8
"1192","twitter",8
"1193","unix shell scripting",8
"1194","version control systems",8
"1195","vpc",8
"1196","workflow",8
"1197","ab testing",7
"1198","accurate record keeping",7
"1199","agile scrum",7
"1200","ai outputs",7
"1201","api design",7
"1202","applied math",7
"1203","applied statistics",7
"1204","asp",7
"1205","asset management",7
"1206","autonomous vehicles",7
